iter	Passed	Remaining
0	1	173
1	3	157
2	4	157
3	6	145
4	7	146
5	9	149
6	11	148
7	12	149
8	14	149
9	16	148
10	18	147
11	19	145
12	21	143
13	23	142
14	24	140
15	26	138
16	27	136
17	29	135
18	31	135
19	33	133
20	34	130
21	36	129
22	38	128
23	39	126
24	41	125
25	43	123
26	46	125
27	48	123
28	50	122
29	51	121
30	53	119
31	55	117
32	56	114
33	58	113
34	60	112
35	61	110
36	63	108
37	65	107
38	67	105
39	68	103
40	70	101
41	71	98
42	72	96
43	74	94
44	76	93
45	78	92
46	80	90
47	81	88
48	83	86
49	84	84
50	86	83
51	88	81
52	89	79
53	92	79
54	93	76
55	95	74
56	97	73
57	98	71
58	100	69
59	101	67
60	103	66
61	105	64
62	106	62
63	108	61
64	110	59
65	112	57
66	113	56
67	115	54
68	116	52
69	118	50
70	122	49
71	124	48
72	126	46
73	128	45
74	129	43
75	131	41
76	132	39
77	134	37
78	135	36
79	137	34
80	139	32
81	140	30
82	142	29
83	144	27
84	145	25
85	147	24
86	148	22
87	151	20
88	152	18
89	154	17
90	155	15
91	157	13
92	159	11
93	160	10
94	162	8
95	163	6
96	165	5
97	167	3
98	168	1
99	170	0
